emp_no,first_name,last_name,title,dept_no,birth_date
11091,Souichi,Ramsay,Engineer,d004,1952-10-10
11132,Kristin,Harnett,Engineer,d004,1952-08-01
11158,Masaki,Hagimont,Engineer,d004,1952-02-23
11170,Minghong,Cannard,Senior Engineer,d005,1952-05-05
11174,Akhilish,Milicia,Engineer,d004,1952-09-14
11180,Mitsuyuki,Bojadziev,Engineer,d005,1952-11-07
11181,Hausi,Cullers,Engineer,d005,1952-05-28
11192,Apostol,Bahr,Engineer,d006,1952-09-06
11201,Jouko,Masaki,Staff,d008,1952-05-20
11203,Sakthirel,Yetto,Senior Staff,d002,1952-06-24
11208,Saniya,Valtorta,Technique Leader,d004,1952-05-29
11211,Yurij,Rissland,Senior Engineer,d004,1952-12-11
11233,Sanjit,Waschkowski,Engineer,d005,1952-05-08
11253,Koldo,Pokrovskii,Engineer,d005,1952-09-11
11300,Lillian,Fontet,Engineer,d005,1952-12-14
11322,Nathalie,Pocchiola,Assistant Engineer,d006,1952-07-19
11325,Samphel,Rossi,Engineer,d005,1952-02-06
11326,Munenori,Plesums,Engineer,d005,1952-09-15
11340,Aris,Bala,Engineer,d004,1952-12-04
11376,Valery,Suomi,Senior Staff,d008,1952-03-10
11380,Kenroku,Pelc,Assistant Engineer,d005,1952-04-23
11385,Shiv,Ullian,Engineer,d004,1952-03-04
11401,Huan,Merey,Staff,d007,1952-12-20
11414,Eishiro,Pearson,Senior Staff,d001,1952-08-08
11469,Guttorm,Giaccio,Engineer,d004,1952-12-01
11501,Karsten,Ranum,Senior Staff,d001,1952-03-26
11521,Eldridge,Eastman,Staff,d007,1952-06-14
11527,Alagu,Boyle,Staff,d001,1952-02-06
11531,Radhika,Motley,Technique Leader,d004,1952-09-08
11573,Pranas,Hutton,Engineer,d005,1952-12-18
11588,Kaijung,Panangaden,Senior Staff,d003,1952-07-20
11596,Yannik,Gunderson,Staff,d002,1952-12-22
11606,Perry,Pepe,Senior Staff,d009,1952-11-05
11628,Fan,Malinowski,Engineer,d005,1952-02-14
11644,Sanjit,Zaiane,Assistant Engineer,d004,1952-04-08
11676,Valeri,Ferriere,Engineer,d004,1952-04-12
11681,Fumitake,Benzmuller,Engineer,d004,1952-05-15
11686,Nadjib,Srimani,Senior Staff,d004,1952-11-14
11693,Hideo,Coorg,Senior Engineer,d005,1952-02-15
11713,Danel,Heusch,Engineer,d004,1952-02-27
11737,Martina,Garnier,Assistant Engineer,d006,1952-07-17
11746,Koichi,Marrakchi,Senior Staff,d007,1952-05-22
11779,Shunichi,Thombley,Staff,d008,1952-06-07
11810,Amabile,Bhattacharjee,Senior Engineer,d005,1952-12-08
11813,Gita,Muhlberg,Staff,d007,1952-04-27
11829,Chaosheng,Pettis,Assistant Engineer,d004,1952-08-01
11832,Arto,Zlotek,Engineer,d005,1952-05-18
11836,Ortrud,Bakhtari,Senior Staff,d008,1952-09-14
11853,Zeljko,Kusakabe,Senior Staff,d001,1952-06-19
11864,Pradeep,Kriebel,Staff,d009,1952-06-14
11881,Arra,Staelin,Senior Staff,d007,1952-08-06
11883,Nectarios,Bhattacharjee,Engineer,d006,1952-05-27
11888,Badri,Azulay,Senior Staff,d001,1952-04-05
11897,Cordelia,Setlzner,Senior Staff,d007,1952-11-23
11911,Ashish,Mondadori,Engineer,d005,1952-07-08
11931,Gunilla,Chiodo,Senior Staff,d008,1952-10-30
11944,Along,Aumann,Senior Engineer,d006,1952-05-15
11945,Limsoon,Marakhovsky,Staff,d003,1952-02-17
11948,Yahiko,Nergos,Engineer,d004,1952-02-21
12007,Marko,Dehkordi,Engineer,d005,1952-06-18
12024,Mayumi,Lanzelotte,Staff,d003,1952-11-09
12028,Ingemar,Walstra,Engineer,d005,1952-11-21
12043,Masaki,Lubachevsky,Staff,d008,1952-12-11
12055,Rutger,Kilgore,Staff,d002,1952-03-16
12093,Evgueni,Oxenboll,Engineer,d005,1952-07-02
12102,Aron,Erde,Staff,d007,1952-10-14
12140,Xudong,Paciorek,Senior Staff,d003,1952-07-30
12148,Hidde,Garigliano,Assistant Engineer,d004,1952-08-08
12165,Xiaobin,Maquelin,Senior Engineer,d005,1952-11-19
12186,Guther,Nooteboom,Senior Staff,d009,1952-12-06
12190,Abdulah,Engberts,Senior Engineer,d005,1952-12-19
12213,Kwangho,Brizzi,Senior Staff,d007,1952-09-26
12219,Junsik,Gadepally,Senior Staff,d008,1952-07-13
12230,Yuriy,Bellone,Engineer,d005,1952-02-08
12247,Subbu,Penttonen,Technique Leader,d005,1952-03-26
12249,Eldridge,Sadowski,Engineer,d005,1952-09-20
12269,Mohammed,Whitcomb,Engineer,d004,1952-06-22
12282,Tadahiro,Delgrange,Engineer,d005,1952-02-02
12303,Godehard,Braccini,Senior Staff,d008,1952-08-20
12308,Mototsugu,Cronau,Senior Staff,d002,1952-02-17
12317,Weiyi,Crabtree,Staff,d004,1952-05-23
12327,DAIDA,Bruckman,Engineer,d005,1952-05-21
12328,Atilio,Prampolini,Staff,d003,1952-05-29
12335,Arnould,Genin,Senior Staff,d003,1952-11-25
12338,Kagan,Besselaar,Staff,d002,1952-09-23
12343,Sorina,Slaats,Senior Staff,d004,1952-10-18
12351,Gennady,Zizka,Engineer,d004,1952-12-19
12366,Patricio,Setlzner,Staff,d009,1952-08-11
12394,Stevo,Reeken,Engineer,d006,1952-02-09
12407,Jianwen,Brodie,Engineer,d004,1952-10-12
12411,Shao,Ibel,Senior Staff,d007,1952-05-31
12415,Uri,Sluis,Staff,d007,1952-06-05
12426,Shahaf,Valtorta,Technique Leader,d006,1952-04-29
12450,Sanjeeva,Perng,Engineer,d005,1952-02-10
12468,Ioana,Baezner,Staff,d003,1952-05-05
12502,Danil,VanScheik,Senior Engineer,d004,1952-07-22
12505,Barton,Goldhammer,Senior Staff,d001,1952-08-24
12514,Tomofumi,Melter,Engineer,d005,1952-11-14
12515,Pranav,Wilharm,Engineer,d004,1952-05-22
12528,Conor,Cincotta,Senior Staff,d009,1952-11-20
12541,Shih,Nanard,Senior Staff,d007,1952-04-22
12571,Abdelaziz,Candan,Assistant Engineer,d004,1952-04-16
12586,Oguz,Tasistro,Engineer,d006,1952-11-02
12589,Anoosh,Chleq,Engineer,d005,1952-11-23
12597,Kazuhito,Petereit,Senior Staff,d009,1952-09-07
12635,Xinyu,Restivo,Engineer,d004,1952-11-09
12639,Zeljko,Schapire,Engineer,d004,1952-10-13
12644,Bernt,Jayawardene,Engineer,d004,1952-06-09
12651,Pragnesh,Bael,Senior Staff,d007,1952-07-24
12662,Leucio,Alvarado,Assistant Engineer,d005,1952-08-02
12664,Zhonghua,Parveen,Staff,d007,1952-05-01
12670,Seongbae,Alameldin,Engineer,d004,1952-06-10
12678,Carrsten,Borovoy,Engineer,d005,1952-12-07
12691,Oddvar,Gils,Engineer,d004,1952-10-17
12732,Mara,Takanami,Senior Staff,d007,1952-09-27
12734,Gil,Frijda,Senior Engineer,d005,1952-03-05
12753,Kazuhito,Syrotiuk,Engineer,d004,1952-12-22
12773,Jenwei,Lovengreen,Engineer,d005,1952-06-26
12774,Moon,Asrin,Engineer,d005,1952-12-30
12775,Mariangiola,Berendt,Assistant Engineer,d004,1952-10-21
12795,Masoud,Fordan,Senior Staff,d002,1952-05-06
12798,Lillian,Beeson,Senior Staff,d007,1952-05-18
12803,Gad,Boissier,Senior Staff,d001,1952-05-12
12814,Jaques,Kohling,Technique Leader,d004,1952-06-10
12816,Freyja,Ramras,Engineer,d004,1952-10-15
12821,Arco,Gihr,Engineer,d005,1952-06-01
12840,Zhensheng,Ferretti,Engineer,d005,1952-12-20
12857,Alagu,Gils,Senior Engineer,d005,1952-06-02
12865,Katsuyuki,Rothe,Senior Staff,d008,1952-04-03
12868,Berthier,Nanard,Senior Engineer,d004,1952-08-28
12869,Jacopo,Swiler,Staff,d008,1952-05-11
12885,Anwar,Collavizza,Senior Engineer,d005,1952-12-25
12889,Mayumi,Mukaidono,Engineer,d005,1952-05-02
12895,Roddy,Serot,Senior Engineer,d004,1952-04-28
12926,Heekeun,Luby,Senior Staff,d008,1952-04-24
12962,Paraskevi,Beerel,Senior Staff,d007,1952-10-26
12972,Juyoung,Azevdeo,Staff,d003,1952-10-16
12982,Sachem,Aamodt,Engineer,d005,1952-12-08
12986,Khun,Hennebert,Senior Engineer,d004,1952-03-08
13004,Fan,Beznosov,Engineer,d004,1952-12-13
13012,Florina,Harbusch,Senior Engineer,d005,1952-02-12
13013,Heekeun,Baak,Engineer,d004,1952-10-17
13048,Kerhong,Massonet,Senior Engineer,d005,1952-07-17
13052,Aleksandar,Schlenzig,Engineer,d005,1952-09-26
13054,Samphel,Masamoto,Engineer,d004,1952-03-24
13095,Khedija,Cochrane,Staff,d009,1952-02-13
13103,Srinidhi,Ellozy,Senior Engineer,d005,1952-05-09
13144,Persi,Nollmann,Senior Staff,d002,1952-07-11
13156,Akeel,Millington,Engineer,d005,1952-04-19
13200,Weidon,Pauthner,Engineer,d004,1952-05-24
13216,Stabislas,Weedman,Staff,d009,1952-10-16
13227,Goncalo,Pell,Staff,d007,1952-07-15
13246,Adil,Siepmann,Staff,d007,1952-06-09
13249,Oldrich,Rissland,Staff,d007,1952-04-14
13261,Martial,Peternell,Staff,d007,1952-07-19
13288,Muneo,Broomell,Senior Staff,d003,1952-08-24
13291,Georg,Stamatiou,Engineer,d005,1952-04-29
13303,Koldo,Rissanen,Staff,d007,1952-06-20
13305,Bikash,Herath,Senior Staff,d007,1952-04-25
13343,Heon,Usery,Senior Staff,d002,1952-04-06
13378,Rafols,Zhiwei,Technique Leader,d005,1952-09-18
13386,Khosrow,Sgarro,Technique Leader,d005,1952-04-27
13396,Chuanyi,Aumann,Senior Staff,d009,1952-05-19
13412,Ranga,Erdmenger,Staff,d001,1952-03-13
13422,Vishwani,Gerlach,Engineer,d004,1952-08-20
13436,Mana,Picaronny,Senior Staff,d007,1952-09-16
13451,Gretta,Weiland,Senior Staff,d003,1952-03-21
13475,Kamakshi,Piancastelli,Senior Staff,d007,1952-07-31
13520,Takahiro,Mahnke,Engineer,d004,1952-09-17
13522,Jaewon,Vingron,Senior Staff,d001,1952-11-20
13523,Dines,Karunanithi,Staff,d009,1952-03-06
13549,Matk,Koprowski,Technique Leader,d005,1952-05-02
13560,Sibyl,Jeong,Assistant Engineer,d005,1952-04-15
13596,Georg,Marletta,Engineer,d004,1952-05-02
13624,Zhigen,Yurek,Senior Staff,d003,1952-12-15
13630,Uzi,Kilgour,Engineer,d004,1952-11-25
13662,Tianruo,Zucker,Senior Staff,d008,1952-04-13
13713,Nitsan,Porenta,Senior Staff,d003,1952-06-14
13721,Sugwoo,Delgrossi,Senior Staff,d007,1952-07-01
13727,Vitali,Merey,Staff,d003,1952-08-13
13766,Tremaine,Heemskerk,Senior Staff,d009,1952-05-03
13786,Takushi,Berendt,Senior Staff,d007,1952-02-27
13787,Xiaobin,Sinicrope,Engineer,d004,1952-08-10
13799,Chriss,Backhouse,Technique Leader,d006,1952-06-03
13800,Nikolaus,Gammage,Technique Leader,d006,1952-02-25
13801,Shih,Mayerwieser,Staff,d007,1952-05-27
13841,Christophe,Spinelli,Technique Leader,d004,1952-12-10
13846,Guiseppe,Welham,Senior Staff,d008,1952-08-01
13853,Mingsen,Roohalamini,Senior Staff,d008,1952-03-10
13856,Xiping,Conta,Senior Staff,d007,1952-10-12
13859,Anoosh,Fujisawa,Engineer,d005,1952-08-01
13870,Theirry,Kirkerud,Engineer,d004,1952-04-25
13888,Xuedong,Reghbati,Assistant Engineer,d005,1952-10-15
13894,Ult,Schonegge,Assistant Engineer,d004,1952-11-15
13913,Xinan,Yoshizawa,Technique Leader,d004,1952-03-16
13916,Vidya,Wynblatt,Senior Staff,d007,1952-04-25
13919,Brewster,Sinicrope,Engineer,d004,1952-04-22
13930,Sukumar,Chartres,Senior Staff,d007,1952-04-28
13944,Takahito,Maierhofer,Senior Engineer,d005,1952-02-02
13972,Seongbin,Walston,Technique Leader,d005,1952-09-23
13986,Geraldo,Ramsey,Staff,d007,1952-02-16
13990,Deborah,Schapiro,Assistant Engineer,d005,1952-03-07
13996,Adib,Pews,Staff,d004,1952-03-05
13999,Florian,Crouzet,Senior Staff,d003,1952-11-25
14011,Katsuo,Peris,Engineer,d005,1952-11-26
14012,Yishai,Hanratty,Senior Engineer,d005,1952-06-10
14015,Manibrata,Picaronny,Senior Engineer,d004,1952-06-21
14034,Aloys,Seghrouchni,Senior Staff,d002,1952-05-07
14051,Constantijn,Sullins,Senior Engineer,d005,1952-12-01
14058,Huai,Kobara,Engineer,d004,1952-12-11
14066,Gennadi,Marrakchi,Staff,d007,1952-11-07
14093,Atreye,Ritzmann,Technique Leader,d005,1952-04-07
14130,Yuuichi,Stroustrup,Staff,d001,1952-11-25
14172,Vasilis,Nitsch,Senior Staff,d007,1952-12-10
14191,Jiann,Luby,Engineer,d005,1952-09-07
14200,Masali,Sankaranarayanan,Senior Staff,d001,1952-04-23
14220,Tomofumi,Pargas,Senior Engineer,d004,1952-05-01
14224,Guther,Conta,Staff,d003,1952-02-24
14236,Xuedong,Angiulli,Senior Staff,d008,1952-06-14
14252,Weiyi,Fargier,Staff,d007,1952-07-15
14256,Gino,Ferriere,Assistant Engineer,d004,1952-09-05
14257,Kwok,Massonet,Staff,d004,1952-05-07
14281,Hidekazu,Stavenow,Engineer,d004,1952-03-17
14322,Shem,Kakkad,Engineer,d005,1952-08-14
14323,Golgen,Leslie,Staff,d004,1952-05-31
14331,Susumu,Plessier,Engineer,d005,1952-10-15
14342,Hairong,Iacovou,Engineer,d005,1952-11-19
14364,Remzi,Lund,Senior Staff,d007,1952-08-03
14370,Heon,Perl,Senior Staff,d003,1952-06-06
14372,Saniya,Srimani,Engineer,d005,1952-04-15
14380,Shigeu,Heemskerk,Senior Staff,d005,1952-05-30
14388,Arch,Remmers,Senior Staff,d001,1952-12-28
14395,Berni,Brizzi,Engineer,d004,1952-03-28
14411,Hiroyasu,Validov,Technique Leader,d005,1952-05-14
14478,Munehiro,Boissier,Senior Staff,d007,1952-05-01
14481,Moti,Lammel,Engineer,d004,1952-10-30
14486,Indrajit,Birdsall,Engineer,d004,1952-07-06
14501,Taizo,Kroft,Technique Leader,d004,1952-06-11
14515,Kazuhisa,Versino,Engineer,d006,1952-02-22
14524,Nobuyoshi,Trogemann,Staff,d007,1952-11-17
14560,Elrique,Driscoll,Engineer,d005,1952-03-15
14600,Jayson,Cairo,Senior Staff,d009,1952-12-22
14611,Marsja,Coors,Staff,d007,1952-12-06
14640,Toshimori,Kornatzky,Engineer,d005,1952-10-17
14659,Sashi,Adachi,Engineer,d006,1952-11-19
14668,Weicheng,Covnot,Engineer,d006,1952-03-07
14676,Bikash,Zedlitz,Senior Staff,d007,1952-09-30
14692,Annemarie,Lamba,Engineer,d004,1952-08-16
14693,Brewster,Stranks,Senior Staff,d009,1952-12-08
14732,Heejo,Ohori,Engineer,d005,1952-05-01
14746,Uri,Baalen,Engineer,d004,1952-07-19
14752,Mariusz,Azuma,Senior Engineer,d005,1952-03-21
14759,Akeno,Valette,Senior Staff,d002,1952-10-03
14761,Yunming,Rettelbach,Senior Staff,d007,1952-07-19
14763,Ayakannu,Hedayat,Senior Engineer,d004,1952-03-19
14780,Marlo,Bruckman,Senior Engineer,d004,1952-09-08
14791,Magy,Garrabrants,Assistant Engineer,d005,1952-12-12
14818,Wayne,Falco,Engineer,d004,1952-04-01
14837,Perry,Cappello,Senior Staff,d007,1952-06-10
14839,Changho,Cronin,Engineer,d005,1952-09-21
14853,Taiji,Nergos,Engineer,d005,1952-06-30
14885,Mansur,Thisen,Technique Leader,d006,1952-04-20
14888,Temple,Barriga,Senior Staff,d007,1952-02-14
14908,Kerhong,Flanders,Engineer,d004,1952-05-27
14911,Xiaobin,Chelton,Engineer,d004,1952-10-20
14915,Huican,Picco,Engineer,d004,1952-05-20
14925,Stabislas,Peternell,Engineer,d006,1952-06-14
14936,Yuqun,Demian,Engineer,d004,1952-12-19
14941,Nathan,Lichtner,Engineer,d005,1952-03-21
14949,Insup,Reinhart,Engineer,d004,1952-09-21
14957,Turgut,Munke,Staff,d007,1952-06-21
14959,Kerryn,Hiyoshi,Technique Leader,d004,1952-11-08
14973,Fumitaka,Schaad,Staff,d007,1952-03-25
14982,Kaijung,Angelov,Engineer,d005,1952-05-29
14987,Tiina,Demeyer,Engineer,d005,1952-12-14
15004,Muneo,Esteva,Engineer,d005,1952-11-27
15025,Vincent,Lagarias,Senior Staff,d009,1952-12-03
15043,Christoph,Ventosa,Senior Staff,d007,1952-12-11
15069,Manton,Siksek,Technique Leader,d004,1952-12-08
15075,Radoslaw,Rijsenbrij,Engineer,d004,1952-12-13
15089,Giri,Coney,Engineer,d005,1952-12-01
15094,Seongbae,Bottner,Staff,d001,1952-02-09
15102,Luigi,Axelband,Engineer,d004,1952-07-02
15134,Arun,Luiz,Senior Staff,d007,1952-08-02
15136,Eckart,Waeselynck,Staff,d002,1952-10-11
15216,Zhenhua,Wiegley,Senior Staff,d001,1952-04-24
15248,Edwin,Baar,Senior Staff,d001,1952-03-17
15252,Koichi,Skrikant,Technique Leader,d004,1952-12-08
15263,Sanjeeva,Loncour,Senior Staff,d007,1952-06-17
15274,Sadun,Alblas,Engineer,d005,1952-12-07
15365,Mikhail,Schiettecatte,Engineer,d005,1952-03-09
15367,Mitsuyuki,Schoegge,Staff,d007,1952-09-22
15369,Premal,Penttonen,Staff,d007,1952-10-11
15374,Jiang,Hiroyama,Senior Staff,d003,1952-05-24
15382,Alassane,Siegrist,Senior Staff,d007,1952-07-28
15395,Monique,Jakobus,Senior Staff,d009,1952-07-04
15406,Sariel,Sooriamurthi,Senior Engineer,d005,1952-11-25
15422,Vesna,Wolniewicz,Senior Engineer,d005,1952-04-26
15439,Shuzo,Gide,Engineer,d004,1952-11-24
15470,Weiwu,Huhdanpaa,Engineer,d004,1952-03-30
15489,Ayonca,Maksimenko,Staff,d007,1952-12-27
15525,Masadi,Cherinka,Engineer,d005,1952-02-18
15560,Xiaoshan,Lakshmanan,Engineer,d005,1952-05-14
15563,Constantino,Zykh,Senior Staff,d009,1952-03-10
15582,Tuval,Alpay,Engineer,d004,1952-03-02
15603,Woody,Hooghiemstra,Engineer,d004,1952-08-31
15633,Mikhail,Matteis,Senior Staff,d001,1952-02-24
15637,Vincent,Barinka,Senior Staff,d002,1952-03-24
15638,Basil,Perez,Senior Staff,d002,1952-07-21
15650,Pascal,Bail,Senior Engineer,d004,1952-05-31
15656,Mohammad,Schaaf,Senior Staff,d001,1952-05-17
15662,Shooichi,Danner,Staff,d004,1952-10-03
15664,Bangqing,Ertl,Assistant Engineer,d005,1952-07-30
15668,Zito,Juneja,Senior Engineer,d005,1952-04-22
15683,Shaunak,Hanratty,Engineer,d005,1952-05-10
15714,Troy,Bala,Assistant Engineer,d004,1952-10-02
15717,Yuchang,Rabehasaina,Senior Staff,d001,1952-02-19
15723,Gill,Basagni,Staff,d008,1952-09-22
15733,Amalendu,Lipner,Senior Staff,d009,1952-10-28
15744,Udaiprakash,Solovay,Engineer,d004,1952-08-28
15750,Arumugam,Bresenham,Engineer,d004,1952-07-04
15763,Barun,Narahari,Senior Staff,d001,1952-02-19
15770,Doowon,Ramsey,Engineer,d004,1952-08-28
15778,Arra,Haumacher,Senior Staff,d003,1952-10-07
15788,Taegyun,Deyuan,Engineer,d004,1952-12-23
15799,Manton,Gelosh,Senior Staff,d007,1952-03-25
15812,Luise,Braunmuhl,Senior Staff,d007,1952-05-30
15842,Miyeon,Weedon,Engineer,d004,1952-03-22
15847,Shawna,Gniady,Staff,d008,1952-08-28
15855,Xiaoqiu,Brookman,Senior Staff,d004,1952-08-07
15861,Gio,Anido,Senior Staff,d001,1952-02-24
15866,Angel,Seiwald,Engineer,d004,1952-12-21
15876,Munehiro,Vakili,Assistant Engineer,d005,1952-09-13
15905,DeForest,Petersohn,Engineer,d004,1952-10-08
15911,Shaibal,Viele,Engineer,d004,1952-08-29
15918,Kotesh,Plesums,Senior Staff,d007,1952-08-30
15938,Garnik,Covnot,Senior Staff,d007,1952-05-06
15939,Jiang,Lueh,Engineer,d004,1952-12-11
15941,Dekang,Nourani,Senior Engineer,d005,1952-06-02
15945,Hauke,Larfeldt,Engineer,d004,1952-09-05
15993,Yoshimitsu,Peir,Senior Engineer,d005,1952-07-03
16000,Marek,Demos,Engineer,d004,1952-02-09
16005,Udo,Sundgren,Senior Staff,d007,1952-03-09
16025,Doowon,Luce,Engineer,d005,1952-04-06
16028,JiYoung,Takkinen,Engineer,d004,1952-09-20
16052,Maria,Rodham,Engineer,d005,1952-06-13
16066,Marsha,Penn,Senior Staff,d007,1952-12-05
16068,Leandro,Zongker,Senior Staff,d002,1952-03-05
16077,Kannan,Heemskerk,Assistant Engineer,d005,1952-10-12
16093,Luise,Tramer,Engineer,d004,1952-02-03
16109,Mooi,Serna,Engineer,d005,1952-08-10
16134,Annemarie,Chaudhuri,Engineer,d005,1952-08-07
16138,Leucio,Krzyzanowski,Senior Staff,d001,1952-05-30
16149,Ennio,Luit,Senior Staff,d007,1952-02-12
16165,Shuzo,Cronau,Assistant Engineer,d004,1952-12-07
16175,Amabile,Baik,Staff,d007,1952-02-11
16201,Krassimir,Olano,Technique Leader,d005,1952-11-18
16215,Duri,Eiron,Senior Staff,d007,1952-04-13
16224,Honesty,Slobodova,Staff,d007,1952-05-27
16235,Otmar,Zockler,Engineer,d004,1952-05-23
16238,Takahiro,Kopetz,Staff,d001,1952-09-23
16242,Gonzalo,Pelz,Engineer,d004,1952-07-15
16257,Zhenhua,Masaki,Senior Staff,d007,1952-07-21
16261,Tetsushi,Makrucki,Engineer,d004,1952-02-07
16266,Mikhail,Sethi,Senior Staff,d007,1952-03-12
16280,Henk,Peot,Senior Engineer,d005,1952-07-29
16311,Chinhyun,Baik,Engineer,d005,1952-05-16
16314,Kamakshi,Ravishankar,Engineer,d004,1952-10-04
16329,Yucel,Melter,Senior Engineer,d004,1952-08-31
16360,Sham,Jonsson,Senior Engineer,d004,1952-09-16
16377,Duri,Stanger,Engineer,d004,1952-10-27
16383,Lidong,Czap,Engineer,d004,1952-07-22
16384,Dmitry,Heuser,Senior Engineer,d006,1952-10-30
16388,Subhankar,Georgatos,Senior Staff,d009,1952-05-03
16447,Zhiguo,Savasere,Engineer,d004,1952-02-03
16463,Fuqing,Denna,Senior Staff,d008,1952-10-08
16478,Bedir,Wroclawski,Senior Staff,d002,1952-02-27
16484,Remko,Redmiles,Senior Staff,d007,1952-04-12
16491,Emdad,Radwan,Senior Staff,d009,1952-12-03
16499,Aran,Legleitner,Engineer,d004,1952-04-03
16526,Saeko,Coorg,Engineer,d005,1952-04-17
16529,Heon,Staudhammer,Staff,d001,1952-06-19
16537,Weidon,Seiwald,Senior Engineer,d005,1952-05-18
16551,Sadegh,Ranon,Senior Engineer,d005,1952-03-13
16580,Masaru,Valiente,Senior Engineer,d006,1952-12-17
16593,Tiina,Skafidas,Technique Leader,d005,1952-02-26
